,osebuildingid,buildingtype,primarypropertytype,taxparcelidentificationnumber,councildistrictcode,neighborhood,numberofbuildings,numberoffloors,propertygfatotal,propertygfaparking,propertygfabuilding_s,listofallpropertyusetypes,largestpropertyusetype,largestpropertyusetypegfa,energystarscore,siteeui_kbtu_sf,siteeuiwn_kbtu_sf,sourceeui_kbtu_sf,sourceeuiwn_kbtu_sf,siteenergyuse_kbtu,siteenergyusewn_kbtu,steamuse,electricity,naturalgas,defaultdata,compliancestatus,totalghgemissions,zipcode,latitude,longitude,age
15,21,Nonresidential COS,Other,0942000275,7,DOWNTOWN,1.0,11,412000,57000,355000,"Data Center, Library, Parking",Library,364913.0,,50.79999924,51.09999847,155.6000061,156.0,18588860.0,18706912.0,True,True,False,False,Compliant,181.38,98154.0,47.60649,-122.33297,19
16,22,NonResidential,Other,0942000350,7,DOWNTOWN,1.0,6,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,,76.59999847,78.40000153,157.3999939,159.6000061,9956396.0,10192124.0,True,True,True,False,Compliant,433.86,98104.0,47.60546,-122.33279,93
17,23,NonResidential,Hotel,0942000430,7,DOWNTOWN,1.0,28,416281,85000,331281,"Hotel, Parking",Hotel,348329.0,31.0,96.30000305,98.59999847,228.5,232.8000031,33556756.0,34351920.0,False,True,True,False,Compliant,802.89,98104.0,47.60681,-122.33078,40
18,24,NonResidential,Mixed Use Property,0942000510,7,DOWNTOWN,1.0,5,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,,132.3999939,137.1000061,280.7000122,285.0,7606084.5,7877219.0,True,True,True,False,Compliant,273.02,98104.0,47.60515,-122.33159,116
19,25,NonResidential,Hotel,0942000610,7,DOWNTOWN,1.0,10,104352,0,104352,Hotel,Hotel,104352.0,39.0,97.30000305,97.30000305,225.5,225.5,10154608.0,10154608.0,True,True,True,False,Compliant,349.32,98104.0,47.60376,-122.33194,107
20,26,NonResidential,Other,0942000860,7,DOWNTOWN,1.0,10,540360,0,540360,Courthouse,Courthouse,537150.0,76.0,83.69999695,87.5,182.6999969,186.6999969,44984468.0,47023088.0,False,True,True,False,Compliant,1265.29,98104.0,47.60265,-122.33051,107
21,27,NonResidential,Other,0942001010,3,DOWNTOWN,1.0,19,385274,0,385274,Other,Other,385274.0,,124.1999969,128.6000061,229.5,232.8999939,47859812.0,49539212.0,False,True,True,False,Compliant,1699.45,98104.0,47.60378,-122.32842,38
22,28,SPS-District K-12,K-12 School,1102000138,2,SOUTHEAST,1.0,2,56228,0,56228,K-12 School,K-12 School,58916.0,95.0,26.10000038,29.10000038,60.70000076,64.59999847,1539478.5,1713623.5,False,True,True,True,,38.53,98118.0,47.54576,-122.26853,62
23,29,NonResidential,Hotel,1142000755,4,NORTHEAST,1.0,6,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,84.0,63.20000076,63.29999924,148.0,148.5,3663534.5,3673186.75,False,True,True,False,Compliant,90.01,98105.0,47.65959,-122.31755,22
24,30,NonResidential,University,0660001420,7,DOWNTOWN,1.0,7,126593,0,126593,College/University,College/University,125000.0,,90.69999695,97.5,173.0,180.0,11343686.0,12183313.0,False,True,True,False,Compliant,388.04,98121.0,47.61816,-122.33629,95
25,31,NonResidential,Other,0660001725,7,DOWNTOWN,1.0,2,67224,0,67224,Automobile Dealership,Automobile Dealership,67224.0,,19.5,19.5,61.20000076,61.20000076,1310236.625,1310236.625,False,True,False,False,Compliant,9.13,98101.0,47.615,-122.33081,93
26,32,NonResidential,Hotel,0660001832,7,EAST,1.0,8,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,,45.5,46.29999924,58.0,58.79999924,5328051.5,5424942.0,False,True,True,False,Compliant,256.57,98101.0,47.61301,-122.32929,32
27,33,NonResidential,Hotel,0660002680,7,DOWNTOWN,1.0,10,171866,38281,133585,Hotel,Hotel,128909.0,57.0,85.80000305,86.69999695,181.1000061,180.6000061,11061916.0,11171407.0,False,True,True,False,Compliant,328.63,98101.0,47.61784,-122.32966,22
28,34,SPS-District K-12,K-12 School,0688000090,3,CENTRAL,1.0,1,126351,0,126351,K-12 School,K-12 School,126351.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,0.0,98112.0,47.62266,-122.30547,68
29,35,NonResidential,Hotel,0697000170,7,DOWNTOWN,1.0,5,68410,16200,52210,Hotel,Hotel,47994.0,57.0,92.90000153,95.0,199.6999969,206.3000031,4456714.5,4557974.0,False,True,True,False,Compliant,128.44,98121.0,47.61558,-122.34186,45
30,36,SPS-District K-12,K-12 School,0752000170,5,NORTH,1.0,2,160645,0,160645,K-12 School,K-12 School,164229.0,75.0,41.29999924,47.5,68.09999847,75.69999695,6779173.0,7800349.5,False,True,True,True,,270.18,98125.0,47.70994,-122.29301,74
31,37,SPS-District K-12,K-12 School,0809000005,7,MAGNOLIA / QUEEN ANNE,1.0,2,51582,0,51582,K-12 School,K-12 School,55166.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,,10.43,98109.0,47.6329,-122.35172,34
32,38,NonResidential,Small- and Mid-Sized Office,0825049008,4,LAKE UNION,1.0,3,87262,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,,61.5,69.80000305,106.5,115.9000015,4145920.5,4703690.0,False,True,True,False,Compliant,157.77,98070.0,47.6641,-122.33118,117
33,40,NonResidential,Hotel,0925049117,4,NORTHEAST,1.0,4,81871,0,81871,Hotel,Hotel,81871.0,29.0,81.5,82.19999695,162.5,164.8999939,6668568.5,6731281.5,False,True,True,False,Compliant,215.0,98105.0,47.66583,-122.29965,29
34,41,NonResidential,Self-Storage Facility,0925049330,4,NORTHEAST,1.0,2,110356,0,110356,Self-Storage Facility,Self-Storage Facility,26225.0,,12.10000038,12.39999962,35.20000076,35.5,318364.8125,326223.0938,False,True,True,False,Compliant,3.93,98105.0,47.66172,-122.29598,68
35,43,Campus,Mixed Use Property,0022000005,2,GREATER DUWAMISH,1.0,3,494835,0,494835,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,757027.0,8.0,221.6999969,233.1000061,388.2000122,400.2999878,448385312.0,471613856.0,False,True,True,False,Compliant,16870.98,98108.0,47.53493,-122.31788,31
36,46,NonResidential,Warehouse,0323049024,2,GREATER DUWAMISH,3.0,2,714095,0,714095,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,616000.0,,46.40000153,45.79999924,145.8999939,143.8000031,44731160.0,44110016.0,False,True,False,False,Compliant,311.84,98118.0,47.51138,-122.28875,62
37,50,SPS-District K-12,K-12 School,0369000400,7,MAGNOLIA / QUEEN ANNE,1.0,2,54986,0,54986,K-12 School,K-12 School,54986.0,97.0,30.0,32.79999924,77.80000305,83.19999695,1650279.25,1802471.375,False,True,True,False,Compliant,31.47,98199.0,47.65671,-122.39047,33
38,51,SPS-District K-12,K-12 School,0425049022,4,NORTHEAST,1.0,2,175565,0,175565,K-12 School,K-12 School,182861.0,88.0,35.0,40.09999847,55.0,60.40000153,6399127.5,7329817.5,False,True,True,True,,266.05,98115.0,47.68252,-122.29498,73
39,52,NonResidential,Small- and Mid-Sized Office,0467000429,6,BALLARD,1.0,2,94900,0,94900,"Non-Refrigerated Warehouse, Office",Office,55586.0,57.0,65.19999695,68.90000153,163.0,165.8999939,6186461.5,6536359.5,False,True,True,False,Compliant,130.56,98107.0,47.66587,-122.38476,62
40,53,NonResidential,Small- and Mid-Sized Office,0570000340,2,GREATER DUWAMISH,1.0,2,52554,0,52554,"Office, Other - Education",Office,51029.0,83.0,50.09999847,53.5,108.6999969,112.3000031,2951331.25,3150635.5,False,True,True,False,Compliant,83.86,98144.0,47.58034,-122.31132,123
41,54,NonResidential,K-12 School,0625049002,6,NORTHWEST,1.0,3,175015,0,175015,K-12 School,K-12 School,175015.0,95.0,40.0,45.09999847,74.0,80.40000153,6994740.5,7886505.5,False,True,True,False,Compliant,247.85,98103.0,47.68891,-122.33553,69
42,55,NonResidential,Self-Storage Facility,0653000225,7,DOWNTOWN,1.0,3,70586,0,70586,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439.0,,30.60000038,33.09999847,76.59999847,79.19999695,2158629.0,2331573.25,False,True,True,False,Compliant,45.43,98121.0,47.61351,-122.35129,112
43,56,NonResidential,Hotel,1975700040,7,DOWNTOWN,1.0,24,332210,205970,126240,Hotel,Hotel,348630.0,67.0,46.40000153,46.40000153,121.8000031,121.8000031,16163194.0,16163194.0,False,True,True,False,Compliant,295.33,98101.0,47.60946,-122.33337,54
44,57,NonResidential,Large Office,1975700200,7,DOWNTOWN,1.0,5,168115,0,168115,"Data Center, Office, Retail Store",Office,103362.0,78.0,56.29999924,56.29999924,176.6000061,176.6000061,9536161.0,9536161.0,False,True,False,False,Compliant,66.48,98101.0,47.6113,-122.33659,50
45,58,NonResidential,Other,1975700365,7,DOWNTOWN,1.0,2,57428,0,57428,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,51747.0,,21.70000076,21.60000038,48.79999924,48.40000153,1247362.0,1239429.75,False,True,True,False,Compliant,33.26,98101.0,47.61076,-122.33765,103
46,59,NonResidential,Small- and Mid-Sized Office,1975700380,7,DOWNTOWN,1.0,8,59400,0,59400,"Office, Retail Store",Office,34947.0,14.0,85.40000153,88.30000305,398.7000122,412.2000122,5071974.0,5242479.5,False,True,False,False,Compliant,35.36,98101.0,47.61048,-122.33794,113
47,60,NonResidential,Mixed Use Property,1975700525,7,DOWNTOWN,1.0,2,52549,0,52549,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500.0,,286.3999939,299.0,485.2999878,495.5,15026196.0,15683742.0,False,True,True,False,Compliant,584.31,98101.0,47.60886,-122.33744,97
48,62,NonResidential,Hotel,1976700010,7,DOWNTOWN,1.0,20,98634,10043,88591,"Hotel, Parking, Restaurant",Hotel,83591.0,71.0,54.59999847,57.29999924,158.6000061,167.0,4841347.5,5078816.0,False,True,True,False,Compliant,59.19,98101.0,47.61233,-122.33432,93
49,63,NonResidential,Hotel,1976700095,7,DOWNTOWN,1.0,34,994212,146694,847518,"Hotel, Parking, Swimming Pool",Hotel,994212.0,63.0,80.90000153,82.80000305,182.5,184.5,80469216.0,82318072.0,True,True,True,False,Compliant,2451.58,98101.0,47.61087,-122.33339,41
50,65,NonResidential,Hotel,1977200050,7,DOWNTOWN,1.0,7,71150,0,71150,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340.0,98.0,93.09999847,93.09999847,215.8999939,215.8999939,5348309.0,5348309.0,False,True,True,False,Compliant,134.38,98101.0,47.60997,-122.34138,38
51,66,NonResidential,Hotel,1977201035,7,DOWNTOWN,1.0,7,122810,0,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360.0,99.0,44.0,49.59999847,68.19999695,74.09999847,5401277.5,6088417.5,False,True,True,False,Compliant,227.18,98101.0,47.61155,-122.34114,115
52,67,NonResidential,Hotel,1991200730,7,LAKE UNION,1.0,5,113173,42546,70627,"Hotel, Parking",Hotel,70627.0,86.0,74.80000305,76.90000153,165.6999969,172.1000061,5284343.5,5428403.5,False,True,True,False,Compliant,144.79,98109.0,47.61986,-122.34413,64
53,68,NonResidential,Hotel,1991200935,7,LAKE UNION,1.0,7,150453,34735,115718,Hotel,Hotel,107547.0,84.0,60.70000076,61.79999924,128.0,129.8000031,6715187.0,6835263.5,False,True,True,False,Compliant,199.95,98109.0,47.62001,-122.34274,23
54,69,NonResidential,Hotel,1991200940,7,LAKE UNION,1.0,6,116300,28200,88100,Hotel,Hotel,88490.0,80.0,65.90000153,67.09999847,144.5,147.1000061,5827595.5,5941927.0,False,True,True,False,Compliant,162.39,98109.0,47.62025,-122.34314,26
55,70,NonResidential,Hotel,1992200235,7,MAGNOLIA / QUEEN ANNE,1.0,6,155602,36744,118858,Hotel,Hotel,155602.0,81.0,43.90000153,44.0,107.4000015,107.5999985,6836900.0,6849826.5,False,True,True,False,Compliant,152.76,98119.0,47.62023,-122.35951,25
56,73,NonResidential,K-12 School,2125049015,3,EAST,1.0,3,56072,0,56072,K-12 School,K-12 School,56072.0,76.0,57.70000076,67.80000305,81.09999847,92.69999695,3234787.75,3800842.5,False,True,True,False,Compliant,146.34,98136.0,47.63442,-122.30793,112
57,77,NonResidential,Hotel,2249000170,7,MAGNOLIA / QUEEN ANNE,1.0,4,122942,44891,78051,"Hotel, Parking",Hotel,78051.0,94.0,68.40000153,69.0,136.6999969,138.6999969,5337334.0,5387530.0,False,True,True,False,Compliant,171.64,98109.0,47.62519,-122.34456,24
58,82,NonResidential,Small- and Mid-Sized Office,2254501944,3,CENTRAL,1.0,2,54984,0,54984,Office,Office,54984.0,71.0,61.40000153,66.0,139.6000061,144.5,3375211.0,3630147.25,False,True,True,False,Compliant,87.98,98122.0,47.60823,-122.30956,61
59,84,NonResidential,Senior Care Community,2324039001,1,SOUTHWEST,1.0,5,217603,0,217603,"Parking, Senior Care Community",Senior Care Community,296313.0,54.0,144.3999939,153.6999969,235.0,244.8000031,42792072.0,45547252.0,False,True,True,False,Compliant,1727.11,98126.0,47.55837,-122.37751,101
60,85,NonResidential,Senior Care Community,2426039059,5,NORTHWEST,1.0,2,93397,0,93397,Senior Care Community,Senior Care Community,93397.0,1.0,175.6000061,181.6000061,311.5,320.0,16402563.0,16959754.0,False,True,True,False,Compliant,609.1,98133.0,47.72426,-122.35599,53
61,86,NonResidential,Hotel,2467400430,7,LAKE UNION,1.0,6,84103,20732,63371,"Hotel, Parking",Hotel,63371.0,74.0,58.5,59.79999924,154.1999969,156.6999969,3706100.25,3787499.0,False,True,True,False,Compliant,67.06,98109.0,47.61988,-122.33211,15
62,87,SPS-District K-12,K-12 School,2518400005,1,SOUTHWEST,1.0,2,53352,0,53352,K-12 School,K-12 School,65568.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,,4.19,98146.0,47.5097,-122.37759,75
63,89,NonResidential,Medical Office,1978201270,3,EAST,1.0,3,179014,0,179014,Medical Office,Medical Office,179014.0,48.0,93.30000305,92.30000305,213.3999939,210.3000031,16701055.0,16527711.0,False,True,True,False,Compliant,430.84,98122.0,47.61244,-122.3214,58
64,95,NonResidential,Hotel,1979200270,3,EAST,1.0,7,76631,0,76631,Hotel,Hotel,76631.0,71.0,94.69999695,94.59999847,172.0,171.6999969,7258758.5,7250730.5,False,True,True,False,Compliant,262.75,98104.0,47.60898,-122.32693,115
65,96,NonResidential,Mixed Use Property,1979200290,3,EAST,1.0,6,99780,9341,90439,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,40174.0,,204.5,207.3000031,505.7999878,504.2999878,15473117.0,15684371.0,True,True,False,False,Compliant,481.97,98104.0,47.60845,-122.32637,40
66,98,NonResidential,Retail Store,1983200230,7,LAKE UNION,1.0,2,58320,0,58320,Retail Store,Retail Store,72072.0,96.0,14.60000038,17.20000076,25.79999924,28.79999924,1049748.625,1243027.75,False,True,True,False,Compliant,39.06,98109.0,47.62237,-122.33805,94
67,100,NonResidential,Large Office,1983200325,7,LAKE UNION,1.0,5,316306,0,316306,"Office, Other, Parking, Retail Store",Office,261826.0,96.0,48.0,48.40000153,144.0,144.3999939,13795954.0,13909270.0,False,True,True,False,Compliant,138.85,98109.0,47.62424,-122.33646,13
68,102,NonResidential,Hotel,1984200065,3,LAKE UNION,1.0,7,282863,44766,238097,"Hotel, Parking",Hotel,235788.0,37.0,82.5,85.59999847,184.0,189.1999969,19459304.0,20194606.0,False,True,True,False,Compliant,526.85,98109.0,47.62642,-122.33325,33
69,103,Nonresidential COS,Other,1985200003,7,MAGNOLIA / QUEEN ANNE,1.0,1,389000,0,389000,Other,Other,368000.0,,64.30000305,64.5,151.6000061,152.1000061,23658978.0,23736924.0,True,True,True,False,Compliant,607.41,98109.0,47.62208,-122.35398,61
70,104,Nonresidential COS,Other,1985200003,7,MAGNOLIA / QUEEN ANNE,1.0,1,91213,0,91213,Other,Other,65000.0,,125.1999969,125.9000015,261.7000122,265.3999939,8141155.5,8181881.0,True,True,False,False,Compliant,344.2,98109.0,47.62208,-122.35398,61
71,106,Nonresidential COS,Other,1985200305,7,MAGNOLIA / QUEEN ANNE,1.0,5,396085,0,396085,Other,Other,278500.0,,75.19999695,76.30000305,138.1000061,140.0,20955026.0,21257836.0,True,True,False,False,Compliant,804.2,98109.0,47.62208,-122.35398,85
72,107,NonResidential,Large Office,1986200410,7,LAKE UNION,1.0,12,571329,0,571329,"Office, Other, Parking",Office,598801.0,91.0,63.40000153,64.19999695,174.1999969,176.3999939,39605888.0,40153432.0,False,True,True,False,Compliant,617.52,98109.0,47.62112,-122.33629,13
73,110,Nonresidential COS,Other,1988200440,7,MAGNOLIA / QUEEN ANNE,1.0,2,52000,0,52000,Other,Other,52000.0,,52.40000153,51.59999847,110.4000015,109.5,2726369.0,2682242.75,True,True,False,False,Compliant,101.83,98109.0,47.62395,-122.35077,61
74,111,Nonresidential COS,Other,1988200700,7,MAGNOLIA / QUEEN ANNE,1.0,1,60696,0,60696,Other,Other,108000.0,,8.100000381,8.100000381,25.5,25.5,875943.3125,875943.3125,False,True,False,False,Compliant,6.11,98109.0,47.62395,-122.35077,95
75,112,Nonresidential COS,Other,1988200700,7,MAGNOLIA / QUEEN ANNE,1.0,2,262048,0,262048,Other,Other,296000.0,,70.0,70.30000305,171.1999969,175.1999969,20723248.0,20823520.0,True,True,False,False,Compliant,490.73,98109.0,47.62395,-122.35143,95
76,113,NonResidential,Small- and Mid-Sized Office,1988200705,7,MAGNOLIA / QUEEN ANNE,1.0,2,66240,2352,63888,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,45900.0,,74.90000153,75.40000153,235.1999969,236.6000061,4166306.25,4192107.75,False,True,False,False,Compliant,29.04,98109.0,47.62391,-122.34837,37
77,114,NonResidential,Large Office,1988201155,7,MAGNOLIA / QUEEN ANNE,1.0,6,920598,303707,616891,"Office, Other, Parking",Office,729584.0,93.0,49.79999924,51.79999924,130.8000031,131.6000061,36667044.0,38105108.0,False,True,True,False,Compliant,674.09,98109.0,47.62419,-122.34443,13
78,115,NonResidential,Small- and Mid-Sized Office,1989200850,7,MAGNOLIA / QUEEN ANNE,1.0,4,76213,25930,50283,"Office, Other, Parking",Office,48546.0,68.0,68.19999695,71.59999847,192.3999939,196.0,3476212.5,3647345.75,False,True,True,False,Compliant,48.76,98033.0,47.62053,-122.35842,53
79,116,NonResidential,Hotel,1989201125,7,MAGNOLIA / QUEEN ANNE,1.0,6,96910,36934,59976,"Hotel, Parking",Hotel,59976.0,56.0,86.0,87.90000153,182.1999969,188.3999939,5155568.5,5274523.0,False,True,True,False,Compliant,152.14,98109.0,47.62291,-122.35708,21
80,117,NonResidential,Hotel,1142001871,4,NORTHEAST,2.0,4,50017,0,50017,"Hotel, Swimming Pool",Hotel,50017.0,53.0,108.9000015,110.5,203.3000031,205.8000031,5448975.0,5528580.5,False,True,True,False,Compliant,191.2,98105.0,47.65772,-122.31756,61
81,118,SPS-District K-12,K-12 School,1324039116,1,DELRIDGE,1.0,3,74468,0,74468,K-12 School,K-12 School,75364.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,,11.84,98106.0,47.5636,-122.358,24
82,119,NonResidential,K-12 School,1336800825,3,EAST,1.0,3,67743,0,67743,K-12 School,K-12 School,67743.0,34.0,39.09999847,44.79999924,82.30000305,89.30000305,2646879.0,3036464.0,False,True,True,False,Compliant,78.85,98112.0,47.62548,-122.30828,100
83,120,NonResidential,K-12 School,1338800660,3,EAST,1.0,6,194104,0,194104,K-12 School,K-12 School,194104.0,100.0,32.0,37.09999847,54.0,60.09999847,6219841.5,7204080.0,False,True,True,False,Compliant,243.23,98112.0,47.62644,-122.30429,115
84,121,NonResidential,Small- and Mid-Sized Office,1498303116,3,SOUTHEAST,1.0,3,99433,35752,63681,"Office, Parking",Office,63681.0,63.0,76.90000153,78.19999695,241.5,245.6000061,4897760.0,4980737.5,False,True,False,False,Compliant,34.14,98144.0,47.58408,-122.30125,20
85,122,SPS-District K-12,K-12 School,1524049002,2,SOUTHEAST,1.0,2,58933,0,58933,K-12 School,K-12 School,60725.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,,16.36,98144.0,47.57324,-122.29058,32
86,125,SPS-District K-12,K-12 School,1624049214,2,GREATER DUWAMISH,1.0,1,130862,0,130862,K-12 School,K-12 School,134446.0,61.0,48.0,54.29999924,85.59999847,93.5,6456026.0,7300977.5,False,True,True,True,,238.48,98108.0,47.56413,-122.31208,66
87,127,SPS-District K-12,K-12 School,1704900242,2,SOUTHEAST,1.0,3,59955,0,59955,K-12 School,K-12 School,59955.0,93.0,27.20000076,29.20000076,78.69999695,83.0,1633399.375,1749171.25,False,True,True,True,,20.48,98118.0,47.55478,-122.27596,34
88,130,SPS-District K-12,K-12 School,1794501220,7,MAGNOLIA / QUEEN ANNE,1.0,2,93218,0,93218,K-12 School,K-12 School,93218.0,86.0,31.0,34.5,65.90000153,70.80000305,2887392.0,3216155.0,False,True,True,True,,84.75,98119.0,47.63683,-122.35896,59
89,131,NonResidential,Other,1797500625,4,NORTHEAST,1.0,4,56521,0,56521,Other,Other,49000.0,,129.6999969,129.8999939,407.3999939,408.0,6357632.0,6367210.0,False,True,False,False,Compliant,44.32,98115.0,47.67524,-122.31534,82
90,132,NonResidential,Other,1797500715,4,NORTHEAST,1.0,2,206934,0,206934,"Other, Parking",Other,119146.0,,35.70000076,36.79999924,72.59999847,72.90000153,4253577.5,4384625.5,False,True,True,False,Compliant,133.58,98115.0,47.67559,-122.31769,94
91,136,NonResidential,Hotel,1926049012,5,NORTHWEST,1.0,4,51390,0,51390,"Hotel, Parking",Hotel,51390.0,89.0,70.30000305,70.40000153,130.6999969,130.8999939,3611538.0,3616214.0,False,True,True,False,Compliant,127.29,98133.0,47.73141,-122.3458,22
92,137,SPS-District K-12,K-12 School,1926049025,5,NORTHWEST,1.0,2,131013,0,131013,K-12 School,K-12 School,131909.0,88.0,29.5,32.5,59.09999847,62.90000153,3894584.5,4290831.5,False,True,True,True,,124.92,98133.0,47.72463,-122.35315,60
93,138,SPS-District K-12,K-12 School,1926049321,5,NORTHWEST,1.0,1,245587,0,245587,K-12 School,K-12 School,245587.0,92.0,47.90000153,52.40000153,83.69999695,89.09999847,11765682.0,12870916.0,False,True,True,False,Compliant,443.73,98133.0,47.7257,-122.33684,64
94,139,NonResidential,Hotel,1926049434,5,NORTHWEST,1.0,3,69138,0,69138,Hotel,Hotel,70609.0,78.0,45.90000153,47.09999847,101.5999985,104.6999969,3242458.0,3323400.5,False,True,True,False,Compliant,89.02,98133.0,47.72551,-122.3423,21
